iter	Passed	Remaining
857	2820	466
858	2824	463
859	2828	460
860	2832	457
861	2835	453
862	2838	450
863	2841	447
864	2844	443
865	2847	440
866	2851	437
867	2853	434
868	2856	430
869	2859	427
870	2862	424
871	2865	420
872	2869	417
873	2872	414
874	2876	410
875	2880	407
876	2883	404
877	2886	401
878	2889	397
879	2893	394
880	2896	391
881	2898	387
882	2901	384
883	2904	381
884	2908	377
885	2911	374
886	2914	371
887	2917	368
888	2921	364
889	2923	361
890	2927	358
891	2930	354
892	2933	351
893	2937	348
894	2940	344
895	2942	341
896	2946	338
897	2949	335
898	2952	331
899	2955	328
900	2958	325
901	2962	321
902	2978	319
903	2981	316
904	2984	313
905	2987	309
906	2990	306
907	2993	303
908	2996	299
909	2999	296
910	3002	293
911	3005	289
912	3008	286
913	3011	283
914	3015	280
915	3018	276
916	3021	273
917	3025	270
918	3028	266
919	3031	263
920	3034	260
921	3037	256
922	3040	253
923	3043	250
924	3046	246
925	3048	243
926	3051	240
927	3054	236
928	3057	233
929	3060	230
930	3064	227
931	3067	223
932	3070	220
933	3073	217
934	3077	213
935	3080	210
936	3083	207
937	3086	204
938	3090	200
939	3092	197
940	3095	194
941	3099	190
942	3102	187
943	3105	184
944	3109	180
945	3112	177
946	3115	174
947	3118	171
948	3122	167
949	3124	164
950	3128	161
951	3131	157
952	3133	154
953	3136	151
954	3139	147
955	3142	144
956	3145	141
957	3148	138
958	3151	134
959	3154	131
960	3157	128
961	3160	124
962	3164	121
963	3167	118
964	3170	114
965	3173	111
966	3176	108
967	3179	105
968	3183	101
969	3186	98
970	3189	95
971	3192	91
972	3195	88
973	3198	85
974	3203	82
975	3209	78
976	3213	75
977	3218	72
978	3222	69
979	3227	65
980	3231	62
981	3236	59
982	3240	56
983	3243	52
984	3247	49
985	3251	46
986	3256	42
987	3259	39
988	3263	36
989	3266	32
990	3269	29
991	3272	26
992	3275	23
993	3279	19
994	3282	16
995	3285	13
996	3288	9
997	3291	6
998	3295	3
999	3298	0
